  2.879444403669e+01   3.000000000000e+02   3.000000000000e+02  -1.969509183717e+01  -1.336759244039e+01  -1.814001357392e+01  -8.083837577408e+00  -1.699351573114e+01  -2.170649778389e+01  -2.174266804029e+01  -1.749556836749e+01  -2.619346876177e+01
  2.880156530442e+01   1.425048186946e+02  -1.457871225977e+01  -1.971441425645e+01  -1.338896477807e+01  -1.815550548229e+01  -8.127743700949e+00  -1.700656587816e+01  -2.172099979025e+01  -2.176494418157e+01  -1.750800672678e+01  -2.620602578313e+01
  2.880868657214e+01  -8.171232469993e+00  -1.502182178530e+01  -1.973369911665e+01  -1.341026257413e+01  -1.817096990783e+01  -8.171364428722e+00  -1.701959458870e+01  -2.173544126440e+01  -2.178704504177e+01  -1.752043014931e+01  -2.621857099162e+01
  2.881580783986e+01  -8.214629561467e+00  -1.518182463977e+01  -1.975294664876e+01  -1.343148668901e+01  -1.818640702779e+01  -8.214704327869e+00  -1.703260209898e+01  -2.174982321259e+01  -2.180897421505e+01  -1.753283874359e+01  -2.623110444533e+01
  2.882292910759e+01  -8.257642682776e+00  -1.527102229396e+01  -1.977215708162e+01  -1.345263796836e+01  -1.820181701775e+01  -8.257767856142e+00  -1.704558864063e+01  -2.176414661779e+01  -2.183073519612e+01  -1.754523261684e+01  -2.624362620190e+01
  2.883005037531e+01  -8.300481244593e+00  -1.533187524281e+01  -1.979133064197e+01  -1.347371724339e+01  -1.821720005160e+01  -8.300559365287e+00  -1.705855444078e+01  -2.177841244036e+01  -2.185233138362e+01  -1.755761187499e+01  -2.625613631851e+01
  2.883717164303e+01  -8.342964606764e+00  -1.537853714995e+01  -1.981046755444e+01  -1.349472533114e+01  -1.823255630158e+01  -8.343083104315e+00  -1.707149972220e+01  -2.179262161875e+01  -2.187376608346e+01  -1.756997662269e+01  -2.626863485191e+01
  2.884429291076e+01  -8.385262239848e+00  -1.541707401118e+01  -1.982956804158e+01  -1.351566303488e+01  -1.824788593829e+01  -8.385343222639e+00  -1.708442470339e+01  -2.180677507009e+01  -2.189504251191e+01  -1.758232696340e+01  -2.628112185836e+01
  2.885141417848e+01  -8.427231842096e+00  -1.545051894539e+01  -1.984863232392e+01  -1.353653114431e+01  -1.826318913071e+01  -8.427343773102e+00  -1.709732959869e+01  -2.182087369081e+01  -2.191616379870e+01  -1.759466299932e+01  -2.629359739373e+01
  2.885853544620e+01  -8.469005321508e+00  -1.548055712489e+01  -1.986766061997e+01  -1.355733043592e+01  -1.827846604621e+01  -8.469088714893e+00  -1.711021461842e+01  -2.183491835723e+01  -2.193713298985e+01  -1.760698483147e+01  -2.630606151340e+01
  2.886565671393e+01  -8.510476443228e+00  -1.550819974755e+01  -1.988665314623e+01  -1.357806167326e+01  -1.829371685061e+01  -8.510581916351e+00  -1.712307996893e+01  -2.184890992611e+01  -2.195795305050e+01  -1.761929255971e+01  -2.631851427237e+01
  2.887277798165e+01  -8.551741768062e+00  -1.553409038776e+01  -1.990561011723e+01  -1.359872560719e+01  -1.830894170816e+01  -8.551827157678e+00  -1.713592585275e+01  -2.186284923525e+01  -2.197862686759e+01  -1.763158628271e+01  -2.633095572517e+01
  2.887989924937e+01  -8.592729010527e+00  -1.555865817202e+01  -1.992453174558e+01  -1.361932297619e+01  -1.832414078156e+01  -8.592828133542e+00  -1.714875246867e+01  -2.187673710396e+01  -2.199915725240e+01  -1.764386609801e+01  -2.634338592593e+01
  2.888702051709e+01  -8.633501450175e+00  -1.558220025797e+01  -1.994341824194e+01  -1.363985450660e+01  -1.833931423200e+01  -8.633588455594e+00  -1.716156001182e+01  -2.189057433360e+01  -2.201954694303e+01  -1.765613210205e+01  -2.635580492835e+01
  2.889414178482e+01  -8.674018775334e+00  -1.560492896543e+01  -1.996226981507e+01  -1.366032091291e+01  -1.835446221919e+01  -8.674111654896e+00  -1.717434867376e+01  -2.190436170808e+01  -2.203979860681e+01  -1.766838439014e+01  -2.636821278573e+01
  2.890126305254e+01  -8.714312912446e+00  -1.562700005491e+01  -1.998108667187e+01  -1.368072289794e+01  -1.836958490131e+01  -8.714401184260e+00  -1.718711864261e+01  -2.191809999433e+01  -2.205991484252e+01  -1.768062305652e+01  -2.638060955095e+01
  2.890838432026e+01  -8.754373679050e+00  -1.564853040176e+01  -1.999986901738e+01  -1.370106115317e+01  -1.838468243511e+01  -8.754460420501e+00  -1.719987010308e+01  -2.193178994278e+01  -2.207989818263e+01  -1.769284819434e+01  -2.639299527647e+01
  2.891550558799e+01  -8.794203449435e+00  -1.566960943237e+01  -2.001861705479e+01  -1.372133635892e+01  -1.839975497589e+01  -8.794292666625e+00  -1.721260323659e+01  -2.194543228776e+01  -2.209975109539e+01  -1.770505989572e+01  -2.640537001439e+01
  2.892262685571e+01  -8.833820446711e+00  -1.569030674832e+01  -2.003733098549e+01  -1.374154918460e+01  -1.841480267751e+01  -8.833901153921e+00  -1.722531822134e+01  -2.195902774801e+01  -2.211947598688e+01  -1.771725825173e+01  -2.641773381636e+01
  2.892974812343e+01  -8.873199176456e+00  -1.571067734292e+01  -2.005601100909e+01  -1.376170028893e+01  -1.842982569242e+01  -8.873289044000e+00  -1.723801523237e+01  -2.197257702702e+01  -2.213907520294e+01  -1.772944335243e+01  -2.643008673367e+01
  2.893686939116e+01  -8.912384655513e+00  -1.573076525274e+01  -2.007465732341e+01  -1.378179032018e+01  -1.844482417168e+01  -8.912459430751e+00  -1.725069444167e+01  -2.198608081351e+01  -2.215855103105e+01  -1.774161528687e+01  -2.644242881722e+01
