  4.14706830e+00   4.11852267e+03   1.11492273e+04   6.77805656e+03
  4.15408736e+00   7.96171965e+01   2.25942288e+02   1.35919035e+02
  4.16110642e+00   3.90298844e+01   1.16203950e+02   6.91902359e+01
  4.16812547e+00   2.53102208e+01   7.91297580e+01   4.66464319e+01
  4.17514453e+00   1.84092153e+01   6.04967412e+01   3.53161833e+01
  4.18216358e+00   1.42522280e+01   4.92849388e+01   2.84985671e+01
  4.18918264e+00   1.14718879e+01   4.17962636e+01   2.39448822e+01
  4.19620169e+00   9.47991980e+00   3.64397119e+01   2.06876845e+01
  4.20322075e+00   7.98144164e+00   3.24177685e+01   1.82420278e+01
  4.21023981e+00   6.81233514e+00   2.92865721e+01   1.63380126e+01
  4.21725886e+00   5.87399626e+00   2.67794460e+01   1.48134805e+01
  4.22427792e+00   5.10361087e+00   2.47265083e+01   1.35651310e+01
  4.23129697e+00   4.45926747e+00   2.30144087e+01   1.25240391e+01
  4.23831603e+00   3.91193025e+00   2.15646195e+01   1.16424542e+01
  4.24533509e+00   3.44084727e+00   2.03210171e+01   1.08862491e+01
  4.25235414e+00   3.03079292e+00   1.92424238e+01   1.02303848e+01
  4.25937320e+00   2.67034313e+00   1.82979431e+01   9.65607394e+00
  4.26639225e+00   2.35075858e+00   1.74639400e+01   9.14894465e+00
  4.27341131e+00   2.06523983e+00   1.67220252e+01   8.69781504e+00
  4.28043036e+00   1.80841730e+00   1.60576772e+01   8.29385480e+00
  4.28744942e+00   1.57599422e+00   1.54592755e+01   7.92999786e+00
  4.29446848e+00   1.36449143e+00   1.49174110e+01   7.60052274e+00
  4.30148753e+00   1.17106173e+00   1.44243837e+01   7.30074726e+00
  4.30850659e+00   9.93352611e-01   1.39738314e+01   7.02680278e+00
  4.31552564e+00   8.29403308e-01   1.35604517e+01   6.77546486e+00
  4.32254470e+00   6.77566487e-01   1.31797895e+01   6.54402457e+00
  4.32956376e+00   5.36448029e-01   1.28280748e+01   6.33018936e+00
  4.33658281e+00   4.04860176e-01   1.25020955e+01   6.13200605e+00
  4.34360187e+00   2.81784703e-01   1.21990982e+01   5.94780028e+00
  4.35062092e+00   1.66343711e-01   1.19167087e+01   5.77612845e+00
  4.35763998e+00   5.77762560e-02   1.16528696e+01   5.61573930e+00
  4.36465903e+00  -4.45805021e-02   1.14057882e+01   5.46554290e+00
  4.37167809e+00  -1.41306620e-01   1.11738963e+01   5.32458545e+00
  4.37869715e+00  -2.32911904e-01   1.09558153e+01   5.19202871e+00
  4.38571620e+00  -3.19846236e-01   1.07503287e+01   5.06713295e+00
  4.39273526e+00  -4.02508128e-01   1.05563591e+01   4.94924294e+00
  4.39975431e+00  -4.81251853e-01   1.03729486e+01   4.83777620e+00
  4.40677337e+00  -5.56393419e-01   1.01992428e+01   4.73221317e+00
  4.41379243e+00  -6.28215604e-01   1.00344772e+01   4.63208893e+00
  4.42081148e+00  -6.96972208e-01   9.87796572e+00   4.53698624e+00
  4.42783054e+00  -7.62891678e-01   9.72909071e+00   4.44652953e+00
  4.43484959e+00  -8.26180199e-01   9.58729483e+00   4.36037984e+00
  4.44186865e+00  -8.87024338e-01   9.45207377e+00   4.27823049e+00
